CADATT_ENUM;CADBLOCK_ATTVAL;INVCAD_CADBLOCKATTVAL
l_pt_modele;Ch TU1;TU1
l_pt_modele;Ch TU2;TU2
l_pt_modele;Ch TU4;TU4
l_pt_modele;Ch TU6;TU6
l_pt_modele;Ch TU8;TU8
l_pt_modele;Ch TU10;TU10
l_pt_modele;Ch HN;HN
l_pt_modele;Regard rond;RegardRond
l_pt_modele;Regard carré;RegardCarré
l_pt_modele;Poteau béton;PBE-PoteauBEton
l_pt_modele;Poteau bois;PBO-PoteauBOis
l_pt_modele;Poteau composite;PC-PoteauComposite
l_pt_modele;Poteau métal;PM-PoteauMétal
zapper;Baie Outdoor / Shelter;=> non ce n'est pas un ponctuel
zapper;Coffret;=> non le coffret est en fait le type de BPE ? À voir Fred si il a besoin des poteaux (on garde) ou non (on indique les coffrets dont il a besoin)
l_pt_tp_clas;B125;B125
l_pt_tp_clas;A15;A15
l_pt_tp_clas;C250;C250
zapper;Autres;
l_pt_verrou;Verrou;Verrouillé
l_pt_verrou;;NonVerrouillé
l_bp_typjd;Jonction droite;
l_bp_typjd;Jonction en épi;
l_bp_typjd;Jonction droite avec dérivation;
l_bp_typjd;Jonction en épi avec dérivation;
l_bp_typjd;Dérivation;
l_tm_type;TCOp;TCOP
l_tm_type;CDOp;CDOP
l_tm_type;FT;FT
l_tm_type;PN;PN
l_tm_type;PV;PV
l_tm_type;IOEP;IOEP
l_tm_type;IOEP Passive;IOEP Passive
l_tm_type;IOES PN;IOES PN
l_tm_type;IOES PV;IOES PV
l_tm_type;IOES Circuit d'Alarme;IOES Alarme
l_tm_type;IOES Circuit de Régulation;IOES Régulation
l_tm_type;IOES Circuit d'Alarme et de Régulation;IOES Alarme et Régulation
l_cb_prop;SNCF R;SNCF-Reseau
l_cb_prop;SFR;SFR
l_cb_prop;BOUYGUES;BOUYGUES
l_cb_prop;ORANGE;ORANGE
l_cb_typfonc;PRINCIPAL;Principal
l_cb_typfonc;DE DERIVATION;Dérivation
l_cb_struct;armé;Armé
l_cb_struct;armé ISH;ISH-ArméISH
l_cb_struct;diélectrique;Diélectrique
l_cd_type;PEHD;PEHD
l_cd_type;microtube;Microtube
